"id","name","symbol","icon","decimals","dev","circSupply","totalSupply","tokenProgram","mintAuthority","tags","createdAt","usdPrice","updatedAt"
"So11111111111111111111111111111111111111112","Wrapped SOL","SOL","https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/So11111111111111111111111111111111111111112/logo.png",9,"",559896451.8516804,615485878.0094002,"TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA","","community|moonshot-verified|strict|verified|major","2024-06-05T08:55:25.527Z",134.17767402487547,"2025-12-08T21:49:32.620324971Z"
"EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","USD Coin","USDC","https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v/logo.png",6,"5TYZChz7APFopR5QirD5of4rQj1p9AXxeSAg6JndBdGj",11753424965.757633,11753424965.757633,"TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA","BJE5MMbqXjVwjAF7oxwPYXnTXDyspzZyt4vwenNw5ruG","community|moonshot-verified|strict|verified|stable","2024-06-05T08:55:25.527Z",0.9998060143871373,"2025-12-08T21:49:18.620026283Z"
"Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB","USDT","USDT","https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB/logo.svg",6,"66YZZejVBupBnMwSEqTaCkAMwPacpPzP41GSEst55Kgz",2739917254.869006,2739917254.869006,"TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA","Q6XprfkF8RQQKoQVG33xT88H7wi8Uk1B1CC7YAs69Gi","community|moonshot-verified|strict|verified|stable","2024-06-07T12:00:18.76Z",1.0000332644380179,"2025-12-08T21:49:31.619185585Z"
"9BEcn9aPEmhSPbPQeFGjidRiEKki46fVQDyPpSQXPA2D","jupiter lend USDC","jlUSDC","https://cdn.instadapp.io/solana/tokens/icons/usdc.png",6,"HYbxGkNvEwvZ14RzJHPB9h3dWfXjxwAEhkyzJRHx1hBf",477571540.58997,477571540.58997,"TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA","5nmGjA4s7ATzpBQXC5RNceRpaJ7pYw2wKsNBWyuSAZV6","community-assist|verified|jup-lend-earn|stable","2025-07-25T13:18:02Z",1.023446176689938,"2025-12-08T21:49:14.620193522Z"
"USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB","World Liberty Financial USD","USD1","https://raw.githubusercontent.com/worldliberty/usd1-metadata/refs/heads/main/logo.png",6,"Hhg2VPSCkvhQd4pWki2kF2XuM5dV5y3uoPGrU2j6ruAG",143599461.263582,143599461.263582,"TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA","7RiokaeTceeKT57YtZzWXXDuHwtQG7HvWa8hpC8riYTE","community-assist|verified|stable","2025-07-14T21:21:00Z",0.9989873875794647,"2025-12-08T21:49:32.62036207Z"
"27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4","Jupiter Perps","JLP","https://static.jup.ag/jlp/icon.png",6,"mQBipzeneXqnAkWNL8raGvrj2c8dJv87LXs2Hn7BeXk",359522994.045321,359522994.045321,"TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA","AVzP2GeRmqGphJsMxWoqjpUifPpCret7LqWhD8NWQK49","community|strict|verified","2024-06-07T10:22:58.336Z",4.678943046193469,"2025-12-08T21:49:33.379925607Z"
"cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij","Coinbase Wrapped BTC","cbBTC","https://ipfs.io/ipfs/QmZ7L8yd5j36oXXydUiYFiFsRHbi3EdgC4RuFwvM7dcqge",8,"t227cdhHdt67b2FzPUEE3R1GKZ6uG9BU2Ubax3H4DR4",4477.0957165,4477.0957165,"TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA","CTQE6PMesbH4szKR9Nk5moj9WWUr9MVGP734wYX9wy3p","community|moonshot-verified|verified","2024-10-08T16:54:05Z",91189.88975384379,"2025-12-08T21:49:32.62036207Z"
"2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH","Global Dollar","USDG","https://424565.fs1.hubspotusercontent-na1.net/hubfs/424565/GDN-USDG-Token-512x512.png",6,"Ad5YH3AoPHXeHxxWt5uFTZHw9HFGKV9wDfQCV19wN4dH",836618769.812939,836618769.812939,"TokenzQdBNbLqP5VEhdkAS6EPFLC1PHnBqCXEpPxuEb","3YJL8sesK3ooPpJddypvFUhCvnvaQ1oF8This4J3bhxR","community|token-2022|verified|stable","2025-01-06T18:38:31Z",0.9992208051935576,"2025-12-08T21:49:33.396054387Z"
"7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs","Ether (Portal)","ETH","https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs/logo.png",8,"BL2xtrnRJoqFM8mex69BQctMAHVBdejj6gmrWie16V5d",63528.11493686,63528.11493686,"TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA","BCD75RNBHrJJpW4dXVagL5mPjzRLnVZq4YirJdjEYMV7","birdeye-trending|community|moonshot-verified|strict|verified|major","2024-06-07T10:45:14.408Z",3138.9469579100437,"2025-12-08T21:49:32.620373831Z"
"6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN","OFFICIAL TRUMP","TRUMP","https://arweave.net/VQrPjACwnQRmxdKBTqNwPiyo65x7LAT773t8Kd7YBzw",6,"9k8jWWqfmTTXrc8gmZqYVxSFJhygURvyVRztivJXFTYP",199999973.087224,999999242.723363,"TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA","","birdeye-trending|community|moonshot-verified|verified","2025-01-17T14:00:59Z",5.721801739174903,"2025-12-08T21:48:48.619784251Z"
